SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-29-1995,Townhouse,14 KNOLLWOOD Ct #14,Burlington,MA,01803,185750,2,2.5,Burlington,1353,,1989,8225,137,174,Sold,,,http://www.redfin.com/MA/Burlington/14-Knollwood-Ct-01803/unit-14/home/137302482,MLS PIN,30042314,N,Y,42.5054413,-71.1726256
PAST SALE,November-25-2003,Townhouse,15 ARBOR Ct #15,Burlington,MA,01803,416000,2,2.5,Burlington,2000,,1987,5154,208,325,Sold,,,http://www.redfin.com/MA/Burlington/15-Arbor-Ct-01803/unit-15/home/137591823,MLS PIN,30771061,N,Y,42.503317,-71.170535
PAST SALE,July-19-1996,Condo/Co-op,"17 GREYSTONE Ct Unit 17,17",Burlington,MA,,204900,2,2.0,Burlington,1308,,1988,7839,157,219,Sold,,,http://www.redfin.com/MA/Burlington/17-Greystone-Ct-01803/unit-17-17/home/137621495,MLS PIN,50331232,N,Y,42.5054243,-71.1711528
PAST SALE,April-30-1996,Townhouse,"17 KNOLLWOOD Dr Unit 17,1",Burlington,MA,,190000,2,2.5,Burlington,1353,,1991,7919,140,191,Sold,,,http://www.redfin.com/MA/Burlington/17-Knollwood-Ct-01803/unit-17-1/home/137904413,MLS PIN,50317604,N,Y,42.504967,-71.1728239
PAST SALE,July-19-1996,Condo/Co-op,17 GREYSTONE Ct #17,Burlington,MA,01803,204900,2,2.0,Burlington,1308,,1987,7839,157,219,Sold,,,http://www.redfin.com/MA/Burlington/17-Greystone-Ct-01803/unit-17/home/137938284,MLS PIN,30105932,N,Y,42.5054243,-71.1711528
PAST SALE,June-29-2001,Townhouse,37 ARBORWOOD Dr #37,Burlington,MA,01803,379900,2,2.5,Burlington,1972,,1987,6033,193,259,Sold,,,http://www.redfin.com/MA/Burlington/37-Arborwood-Dr-01803/unit-37/home/138007803,MLS PIN,30489756,N,Y,42.5029049,-71.1721649
PAST SALE,July-29-2005,Townhouse,12 Knollwood Ct #12,Burlington,MA,01803,454000,2,2.5,Burlington,2100,,1987,4542,216,312,Sold,,,http://www.redfin.com/MA/Burlington/12-Knollwood-Ct-01803/unit-12/home/138244137,MLS PIN,70177897,N,Y,42.5054893,-71.172579
PAST SALE,May-31-2005,Townhouse,"35 Arborwood Dr Unit 35,35",Burlington,MA,01803,526500,2,2.5,Burlington,2000,,1987,4601,263,320,Sold,,,http://www.redfin.com/MA/Burlington/35-Arborwood-Dr-01803/unit-35-35/home/138323428,MLS PIN,70129031,N,Y,42.5045501,-71.1707986
PAST SALE,June-11-2004,Townhouse,21 Treetop Ct #21,Burlington,MA,01803,458000,2,2.5,Burlington,1800,,1987,4955,254,310,Sold,,,http://www.redfin.com/MA/Burlington/21-Treetop-Ct-01803/unit-21/home/138412014,MLS PIN,70031937,N,Y,42.5054575,-71.1740181
PAST SALE,,Townhouse,33 Arborwood Dr,Burlington,MA,01803,470000,2,2.5,,1406,,1987,,334,,,,,http://www.redfin.com/MA/Burlington/33-Arborwood-Dr-01803/home/8468045,,,N,Y,42.5029711,-71.1720618
