SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),74-76 Palfrey Rd,Belmont,MA,02478,530000,6,3.0,,2804,5268,1925,,189,,,,,http://www.redfin.com/MA/Belmont/74-76-Palfrey-Rd-02478/home/8429364,,,N,Y,42.382429,-71.178555
PAST SALE,,Multi-Family (2-4 Unit),152-154 Trapelo Rd,Belmont,MA,02478,442000,8,3.0,,3470,7242,1929,,127,,,,,http://www.redfin.com/MA/Belmont/152-154-Trapelo-Rd-02478/home/8429683,,,N,Y,42.381055,-71.176827
PAST SALE,,Multi-Family (2-4 Unit),33-35 Harding Ave,Belmont,MA,02478,273500,6,2.0,,3326,6702,1932,,82,,,,,http://www.redfin.com/MA/Belmont/33-35-Harding-Ave-02478/home/8429837,,,N,Y,42.381189,-71.180427
PAST SALE,,Multi-Family (2-4 Unit),61-63 Flett Rd,Belmont,MA,02478,240000,4,2.0,,1950,3511,1948,,123,,,,,http://www.redfin.com/MA/Belmont/61-63-Flett-Rd-02478/home/8430663,,,N,Y,42.385459,-71.180858
PAST SALE,,Multi-Family (2-4 Unit),58-60 Flett Rd,Belmont,MA,02478,450000,4,2.0,,2200,3964,1930,,205,,,,,http://www.redfin.com/MA/Belmont/58-60-Flett-Rd-02478/home/8430889,,,N,Y,42.385969,-71.181353
PAST SALE,,Multi-Family (2-4 Unit),131-133 Slade St,Belmont,MA,02478,284000,4,2.0,,2631,5376,1924,,108,,,,,http://www.redfin.com/MA/Belmont/131-133-Slade-St-02478/home/8432893,,,N,Y,42.387154,-71.178998
PAST SALE,,Multi-Family (2-4 Unit),44-46 Creeley Rd,Belmont,MA,02478,249000,4,2.0,,2288,4050,1928,,109,,,,,http://www.redfin.com/MA/Belmont/44-46-Creeley-Rd-02478/home/8440403,,,N,Y,42.3862219,-71.180718
PAST SALE,,Multi-Family (2-4 Unit),31-33 Davis Rd,Belmont,MA,02478,123000,3,2.5,,2257,4707,1913,,54,,,,,http://www.redfin.com/MA/Belmont/31-33-Davis-Rd-02478/home/8440689,,,N,Y,42.38669,-71.18362
PAST SALE,,Condo/Co-op,110 Slade St,Belmont,MA,02478,510000,3,1.0,,1257,,1928,,406,,,,,http://www.redfin.com/MA/Belmont/110-Slade-St-02478/home/8459129,,,N,Y,42.386626,-71.179625
PAST SALE,June-29-2010,Condo/Co-op,125 Trapelo Rd #11,Belmont,MA,02478,214000,2,1.0,Belmont,768,,1963,2746,279,388,Sold,,,http://www.redfin.com/MA/Belmont/125-Trapelo-Rd-02478/unit-11/home/8460002,MLS PIN,71075565,N,Y,42.3812959,-71.1757369
