SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-31-1998,Condo/Co-op,"16 N COMMONS Unit D,16",Lincoln,MA,,292000,4,2.5,Lincoln,1760,,1991,7066,166,275,Sold,,,http://www.redfin.com/MA/Lincoln/16-N-Commons-01773/unit-D-16/home/138469222,MLS PIN,50497244,N,Y,42.456378,-71.2923
PAST SALE,,Townhouse,24 Indian Camp Ln Unit R,Lincoln,MA,01773,457000,3,2.0,,1420,,1989,,322,,,,,http://www.redfin.com/MA/Lincoln/24-Indian-Camp-Ln-01773/unit-R/home/8549463,,,N,Y,42.4556861,-71.2904612
PAST SALE,,Townhouse,20 Indian Camp Ln Unit L,Lincoln,MA,01773,469000,3,2.5,,1568,,1991,,299,,,,,http://www.redfin.com/MA/Lincoln/20-Indian-Camp-Ln-01773/unit-L/home/8549375,,,N,Y,42.4557598,-71.2905009
PAST SALE,June-2-2008,Single Family Residential,30 Beaver Pond Rd,Lincoln,MA,01773,2400000,4,3.5,Lincoln,4141,406395,1981,3503,580,,Sold,,,http://www.redfin.com/MA/Lincoln/30-Beaver-Pond-Rd-01773/home/8554268,MLS PIN,70749904,N,Y,42.4181762,-71.3049396
PAST SALE,September-2-2009,Single Family Residential,33 Winter St,Lincoln,MA,01773,799000,5,3.5,Lincoln,3106,93634,1964,3046,257,,Sold,,,http://www.redfin.com/MA/Lincoln/33-Winter-St-01773/home/8554996,MLS PIN,70939610,N,Y,42.4188099,-71.2874051
PAST SALE,July-25-2014,Condo/Co-op,27 Greenridge Ln #27,Lincoln,MA,01773,219000,1,1.0,Lincoln,650,,1981,1259,337,337,Sold,,,http://www.redfin.com/MA/Lincoln/27-Greenridge-Ln-01773/unit-27/home/77523891,MLS PIN,71672789,N,Y,42.4124485,-71.322992
PAST SALE,May-23-2006,Single Family Residential,42 Round Hill Rd,Lincoln,MA,01773,1810000,5,4.5,Lincoln,5052,92782,1966,4244,358,,Sold,,,http://www.redfin.com/MA/Lincoln/42-Round-Hill-Rd-01773/home/8558891,MLS PIN,70264131,N,Y,42.401606,-71.306135
PAST SALE,July-23-2003,Single Family Residential,116 TOWER Rd,Lincoln,MA,01773,985000,3,2.0,Lincoln,2985,83615,1966,5279,330,,Sold,,,http://www.redfin.com/MA/Lincoln/116-Tower-Rd-01773/home/132044907,MLS PIN,30705518,N,Y,42.4085502,-71.3112892
PAST SALE,May-23-2002,Single Family Residential,LOT 1 PAGE FARM Rd,Lincoln,MA,01773,1200000,2,2.0,Lincoln,2700,359370,1973,5705,444,,Sold,,,http://www.redfin.com/MA/Lincoln/1-Page-Farm-Rd-01773/home/136014042,MLS PIN,30544846,N,Y,42.4275214,-71.281735
PAST SALE,May-26-2017,Single Family Residential,18 Moccasin Hill Rd,Lincoln,MA,01773,1105000,4,2.0,Brown's Wood,2420,84051,1958,223,457,,Sold,,,http://www.redfin.com/MA/Lincoln/18-Moccasin-Hl-01773/home/8557742,MLS PIN,72148899,N,Y,42.406343,-71.295447
PAST SALE,August-3-1998,Single Family Residential,17 BOYCE FARM Rd,Lincoln,MA,,510500,3,3.0,Lincoln,2604,80105,1962,7094,196,,Sold,,,http://www.redfin.com/MA/Lincoln/17-Boyce-Farm-Rd-01773/home/8557998,MLS PIN,50384406,N,Y,42.405481,-71.324424
PAST SALE,,Townhouse,12 Ridge Rd,Lincoln,MA,01773,195000,4,2.0,,1365,,1985,,143,,,,,http://www.redfin.com/MA/Lincoln/12-Ridge-Rd-01773/home/87990102,,,N,Y,42.4131521,-71.3249144
PAST SALE,,Single Family Residential,38 Old Winter St,Lincoln,MA,01773,530000,4,3.5,,5016,60984,1880,,106,,,,,http://www.redfin.com/MA/Lincoln/38-Old-Winter-St-01773/home/8554176,,,N,Y,42.420754,-71.2889445
PAST SALE,May-3-2017,Townhouse,21 Greenridge Ln #21,Lincoln,MA,01773,500000,3,2.5,Lincoln,1564,,1981,246,320,548,Sold,,,http://www.redfin.com/MA/Lincoln/21-Greenridge-Ln-01773/unit-21/home/113217789,MLS PIN,72124431,N,Y,42.4124945,-71.3230825
PAST SALE,November-7-2013,Single Family Residential,61 Bedford Rd,Lincoln,MA,01773,1125000,4,3.0,Lincoln,3348,168581,1747,1519,336,,Sold,,,http://www.redfin.com/MA/Lincoln/61-Bedford-Rd-01773/home/8552305,MLS PIN,71566445,N,Y,42.4336214,-71.2999652
PAST SALE,,Single Family Residential,21 Trapelo Rd,Lincoln,MA,01773,710000,4,1.5,,1400,37897,1911,,507,,,,,http://www.redfin.com/MA/Lincoln/21-Trapelo-Rd-01773/home/8553560,,,N,Y,42.4252691,-71.2996898
PAST SALE,,Townhouse,3 S Commons,Lincoln,MA,01773,98000,3,1.5,,1372,,1995,,71,,,,,http://www.redfin.com/MA/Lincoln/3-S-Commons-01773/home/8549698,,,N,Y,42.4563225,-71.2933599
PAST SALE,April-6-1998,Vacant Land,0 STRATFORD WAY L-8,Lincoln,MA,,525000,,,Lincoln,,81759,,7213,,,Sold,,,http://www.redfin.com/MA/Lincoln/8-Stratford-Way-01773/home/8554046,MLS PIN,50262916,N,Y,42.4201227,-71.2802365
PAST SALE,,Single Family Residential,115 Winter St,Lincoln,MA,01773,220000,2,1.5,,1895,58370,1900,,116,,,,,http://www.redfin.com/MA/Lincoln/115-Winter-St-01773/home/8555185,,,N,Y,42.4121005,-71.2759818
PAST SALE,,Condo/Co-op,82 Virginia Rd Unit 406,Lincoln,MA,01773,281500,2,2.0,,1250,,2006,,225,,,,,http://www.redfin.com/MA/Lincoln/82-Virginia-Rd-01773/unit-406/home/8560168,,,N,Y,42.4584248,-71.2973748
PAST SALE,July-31-2017,Condo/Co-op,140 Lincoln Rd #10,Lincoln,MA,01773,463000,2,2.0,Lincoln,1537,,1992,157,301,658,Sold,,,http://www.redfin.com/MA/Lincoln/140-Lincoln-Rd-01773/unit-10/home/21510535,MLS PIN,72145453,N,Y,42.4148349,-71.3243004
PAST SALE,August-25-2017,Condo/Co-op,41 Todd Pond Rd #41,Lincoln,MA,01773,419000,2,1.5,Lincoln,1271,,1966,132,330,531,Sold,,,http://www.redfin.com/MA/Lincoln/41-Todd-Pond-Rd-01773/unit-41/home/115470297,MLS PIN,72177752,N,Y,42.4118819,-71.3201375
PAST SALE,July-17-2017,Single Family Residential,65 Winter St,Lincoln,MA,01773,992000,5,3.0,Lincoln,4118,176330,1959,171,241,,Sold,,,http://www.redfin.com/MA/Lincoln/65-Winter-St-01773/home/39609115,MLS PIN,71995422,N,Y,42.4140785,-71.2832294
PAST SALE,November-6-2017,Single Family Residential,226 Tower Rd,Lincoln,MA,01773,1590000,4,4.0,Lincoln,3953,93198,1991,59,402,,Sold,,,http://www.redfin.com/MA/Lincoln/226-Tower-Rd-01773/home/8559503,MLS PIN,72214692,N,Y,42.3961059,-71.318831
