SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-28-2005,Single Family Residential,35 Cliff Rd,Weston,MA,02493,2850000,5,5.0,Cliff Estates,5316,63598,1967,4420,536,,Sold,,,http://www.redfin.com/MA/Weston/35-Cliff-Rd-02493/home/8792982,MLS PIN,70199292,N,Y,42.3253264,-71.2943888
PAST SALE,,Single Family Residential,60 Chiltern Rd,Weston,MA,02493,2200000,6,4.5,,3908,47040,1938,,563,,,,,http://www.redfin.com/MA/Weston/60-Chiltern-Rd-02493/home/8791309,,,N,Y,42.3297281,-71.2783749
PAST SALE,June-30-1995,Single Family Residential,47 DEAN,Weston,MA,,542500,4,3.0,Weston,,46191,1953,8224,,,Sold,,,http://www.redfin.com/MA/Weston/47-Dean-Rd-02493/home/8791291,MLS PIN,50279887,N,Y,42.3280741,-71.2772562
PAST SALE,May-23-2011,Single Family Residential,100 Cliff Rd,Weston,MA,02493,1020000,5,3.5,Weston,3122,64792,1966,2418,327,,Sold,,,http://www.redfin.com/MA/Weston/100-Cliff-Rd-02493/home/8792946,MLS PIN,71175257,N,Y,42.3229809,-71.2919215
PAST SALE,,Single Family Residential,29 Hillcrest Rd,Weston,MA,02493,460000,4,3.5,,2408,43124,1976,,191,,,,,http://www.redfin.com/MA/Weston/29-Hillcrest-Rd-02493/home/8783087,,,N,Y,42.3694371,-71.2815159
PAST SALE,,Single Family Residential,87 Summer St,Weston,MA,02493,503000,4,2.5,,3792,60000,1931,,133,,,,,http://www.redfin.com/MA/Weston/87-Summer-St-02493/home/8784749,,,N,Y,42.3616045,-71.274778
PAST SALE,February-13-2015,Single Family Residential,31 Perry Ln,Weston,MA,02493,1035000,4,3.0,Weston,4207,42146,1979,1056,246,,Sold,,,http://www.redfin.com/MA/Weston/31-Perry-Ln-02493/home/8784186,MLS PIN,71750008,N,Y,42.3647143,-71.283293
PAST SALE,,Single Family Residential,11 Hillcrest Rd,Weston,MA,02493,980000,5,3.5,,3714,40510,1974,,264,,,,,http://www.redfin.com/MA/Weston/11-Hillcrest-Rd-02493/home/8783065,,,N,Y,42.3686049,-71.283016
PAST SALE,June-21-1995,Single Family Residential,86 ROLLING Ln,Weston,MA,,575000,4,2.5,Weston,,40000,1963,8233,,,Sold,,,http://www.redfin.com/MA/Weston/86-Rolling-Ln-02493/home/8784938,MLS PIN,50267394,N,Y,42.3617445,-71.2812978
PAST SALE,April-16-1999,Single Family Residential,23 HEMLOCK Rd,Weston,MA,02493,1185000,4,5.0,Weston,4339,40510,1988,6838,273,,Sold,,,http://www.redfin.com/MA/Weston/23-Hemlock-Rd-02493/home/8783023,MLS PIN,30256225,N,Y,42.369549,-71.2907782
PAST SALE,December-8-1998,Single Family Residential,22 PHEASANT Trl,Weston,MA,02493,570000,4,2.5,Weston,2200,55897,1962,6967,259,,Sold,,,http://www.redfin.com/MA/Weston/22-Pheasant-Trl-02493/home/8786728,MLS PIN,30263453,N,Y,42.3516736,-71.2887184
PAST SALE,March-30-2007,Single Family Residential,161 Boston Post Rd,Weston,MA,02493,1295000,5,4.5,Weston,3889,144184,1890,3933,333,,Sold,,,http://www.redfin.com/MA/Weston/161-Boston-Post-Rd-02493/home/11685487,MLS PIN,70521762,N,Y,42.368226,-71.2758041
PAST SALE,August-13-2012,Single Family Residential,7 Whitehouse Ln,Weston,MA,02493,3550000,5,6.5,Southside,7079,87007,2001,1970,501,750,Sold,,,http://www.redfin.com/MA/Weston/7-Whitehouse-Ln-02493/home/8775280,MLS PIN,71377188,N,Y,42.3439101,-71.2698454
PAST SALE,July-31-2001,Single Family Residential,11 GRAYSTONE Ln,Weston,MA,02493,1950000,5,6.0,Weston,5063,36227,1995,6001,385,,Sold,,,http://www.redfin.com/MA/Weston/11-Graystone-Ln-02493/home/8785088,MLS PIN,30469806,N,Y,42.3614365,-71.2725374
PAST SALE,October-31-1996,Single Family Residential,16 CRESCENT St,Weston,MA,,350000,4,2.5,Weston,,51836,1897,7735,,,Sold,,,http://www.redfin.com/MA/Weston/16-Crescent-St-02493/home/8784136,MLS PIN,50333742,N,Y,42.3677296,-71.2850238
PAST SALE,,Single Family Residential,135 Orchard Ave,Weston,MA,02493,2260000,5,3.5,,4312,110094,1900,,524,,,,,http://www.redfin.com/MA/Weston/135-Orchard-Ave-02493/home/8791071,,,N,Y,42.3333582,-71.2766725
PAST SALE,October-12-2012,Single Family Residential,8 Shady Hill Rd,Weston,MA,02493,1400000,5,6.0,Weston,3610,40000,1953,1910,388,,Sold,,,http://www.redfin.com/MA/Weston/8-Shady-Hill-Rd-02493/home/8790446,MLS PIN,71399015,N,Y,42.3271825,-71.2984544
