SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-2-2009,Condo/Co-op,10 Marathon St #1,Arlington,MA,02474,390000,3,1.0,Arlington,1400,,1911,3230,279,150,Sold,,,http://www.redfin.com/MA/Arlington/10-Marathon-St-02474/unit-1/home/18243202,MLS PIN,70852863,N,Y,42.4054983,-71.1406478
PAST SALE,,Condo/Co-op,8 Egerton Rd,Arlington,MA,02474,375000,2,1.0,,1444,,1914,,260,,,,,http://www.redfin.com/MA/Arlington/8-Egerton-Rd-02474/home/26787606,,,N,Y,42.4046917,-71.1415681
PAST SALE,,Multi-Family (2-4 Unit),24 Princeton Rd,Arlington,MA,02474,727000,6,4.5,,3672,4589,1920,,198,,,,,http://www.redfin.com/MA/Arlington/24-Princeton-Rd-02474/home/23458594,,,N,Y,42.4056467,-71.1486953
PAST SALE,November-29-2012,Single Family Residential,55 Mott St,Arlington,MA,02474,564000,3,1.5,Arlington,1618,6000,1948,1862,349,,Sold,,,http://www.redfin.com/MA/Arlington/55-Mott-St-02474/home/8405095,MLS PIN,71426011,N,Y,42.4021651,-71.1521634
PAST SALE,June-19-2008,Multi-Family (2-4 Unit),35-37 Brooks Ave,Arlington,MA,02474,591000,4,3.0,Arlington,2646,4872,1925,3486,223,,Sold,,,http://www.redfin.com/MA/Arlington/35-37-Brooks-Ave-02474/home/21795142,MLS PIN,70739873,N,Y,42.402121,-71.144915
PAST SALE,December-16-2015,Single Family Residential,12 Cheswick Rd,Arlington,MA,02474,680000,4,1.5,Kelwyn Manor,1556,5691,1939,750,437,,Sold,,,http://www.redfin.com/MA/Arlington/12-Cheswick-Rd-02474/home/8405616,MLS PIN,71924927,N,Y,42.4042651,-71.1542281
PAST SALE,,Multi-Family (2-4 Unit),21-23 Lakehill Ave,Arlington,MA,02474,470000,5,2.5,,2810,4832,1910,,167,,,,,http://www.redfin.com/MA/Arlington/21-23-Lakehill-Ave-02474/home/23458510,,,N,Y,42.405105,-71.147639
PAST SALE,,Townhouse,12-14 Brooks Ave,Arlington,MA,02474,250000,4,3.0,,2280,5073,1941,,110,,,,,http://www.redfin.com/MA/Arlington/12-14-Brooks-Ave-02474/home/23456351,,,N,Y,42.4011583,-71.1448325
PAST SALE,,Multi-Family (2-4 Unit),50-52 Windsor St,Arlington,MA,02474,315000,4,2.0,,2436,5000,1922,,129,,,,,http://www.redfin.com/MA/Arlington/50-52-Windsor-St-02474/home/23457869,,,N,Y,42.405378,-71.138307
PAST SALE,,Multi-Family (2-4 Unit),66-68 Melrose St,Arlington,MA,02474,253000,4,2.0,,2391,5929,1925,,106,,,,,http://www.redfin.com/MA/Arlington/66-68-Melrose-St-02474/home/23457978,,,N,Y,42.402823,-71.143021
PAST SALE,,Multi-Family (2-4 Unit),9-11 Mary St,Arlington,MA,02474,258000,4,3.0,,3271,5192,1927,,79,,,,,http://www.redfin.com/MA/Arlington/9-11-Mary-St-02474/home/23458101,,,N,Y,42.403728,-71.1477759
PAST SALE,,Multi-Family (2-4 Unit),11-13 Thorndike St,Arlington,MA,02474,180000,6,2.0,,2693,5003,1914,,67,,,,,http://www.redfin.com/MA/Arlington/11-13-Thorndike-St-02474/home/23458402,,,N,Y,42.402481,-71.13928
PAST SALE,,Multi-Family (2-4 Unit),13-15 Melrose St,Arlington,MA,02474,300000,4,2.0,,2260,4500,1923,,133,,,,,http://www.redfin.com/MA/Arlington/13-15-Melrose-St-02474/home/23458493,,,N,Y,42.404275,-71.141621
PAST SALE,December-8-2015,Multi-Family (2-4 Unit),59-61 Varnum St,Arlington,MA,02474,831000,6,2.0,Arlington,2856,4950,1924,758,291,,Sold,,,http://www.redfin.com/MA/Arlington/59-61-Varnum-St-02474/home/23458576,MLS PIN,71919859,N,Y,42.402341,-71.142065
PAST SALE,,Multi-Family (2-4 Unit),74-76 Massachusetts Ave,Arlington,MA,02474,550000,4,2.0,,2434,5306,1914,,226,,,,,http://www.redfin.com/MA/Arlington/74-76-Massachusetts-Ave-02474/home/23459015,,,N,Y,42.402271,-71.138394
PAST SALE,,Condo/Co-op,68 Thorndike St,Arlington,MA,02474,268000,4,2.0,,1933,,1915,,139,,,,,http://www.redfin.com/MA/Arlington/68-Thorndike-St-02474/home/12098903,,,N,Y,42.4011311,-71.1407245
PAST SALE,,Condo/Co-op,31 Chandler St,Arlington,MA,02474,455000,2,2.0,,1410,,1923,,323,,,,,http://www.redfin.com/MA/Arlington/31-Chandler-St-02474/home/14370614,,,N,Y,42.4048541,-71.1431974
PAST SALE,April-29-2009,Multi-Family (2-4 Unit),15-17 Thorndike St,Arlington,MA,02474,549900,5,2.0,Arlington,2380,4002,1914,3172,231,,Sold,,,http://www.redfin.com/MA/Arlington/15-17-Thorndike-St-02474/home/39935908,MLS PIN,70863229,N,Y,42.402399,-71.139402
PAST SALE,,Multi-Family (2-4 Unit),38 Melrose St,Arlington,MA,02474,122000,4,2.0,,2562,4950,1940,,48,,,,,http://www.redfin.com/MA/Arlington/38-Melrose-St-02474/home/23458496,,,N,Y,42.403459,-71.142118
PAST SALE,July-16-2013,Condo/Co-op,19 Varnum St #2,Arlington,MA,02474,441300,2,1.0,East Arlington,1062,,1912,1633,416,150,Sold,,,http://www.redfin.com/MA/Arlington/19-Varnum-St-02474/unit-2/home/45489519,MLS PIN,71530572,N,Y,42.4033213,-71.1406194
PAST SALE,September-21-2012,Single Family Residential,5 Putnam Rd,Arlington,MA,02474,515000,2,1.5,Arlington,1415,5764,1939,1931,364,,Sold,,,http://www.redfin.com/MA/Arlington/5-Putnam-Rd-02474/home/8404018,MLS PIN,71420466,N,Y,42.4048595,-71.151396
PAST SALE,June-25-2013,Single Family Residential,88 Bay State Rd,Arlington,MA,02474,860000,4,2.5,Kelwyn Manor,2464,6745,2007,1654,349,75,Sold,,,http://www.redfin.com/MA/Arlington/88-Bay-State-Rd-02474/home/8406115,MLS PIN,71497085,N,Y,42.4061098,-71.1530066
PAST SALE,,Condo/Co-op,80 Brooks Ave,Arlington,MA,02474,472000,3,2.0,,2577,,1925,,183,,,,,http://www.redfin.com/MA/Arlington/80-Brooks-Ave-02474/home/8466782,,,N,Y,42.4035691,-71.1457244
PAST SALE,December-30-2013,Condo/Co-op,96 Lake St #2,Arlington,MA,02474,458100,3,1.0,East Arlington,1173,,1927,1466,391,110,Sold,,,http://www.redfin.com/MA/Arlington/96-Lake-St-02474/unit-2/home/8467875,MLS PIN,71603161,N,Y,42.4039093,-71.1482993
PAST SALE,March-31-2016,Townhouse,29 Winter St Unit A,Arlington,MA,02474,880000,5,3.5,Arlington,3293,,2003,644,267,150,Sold,,,http://www.redfin.com/MA/Arlington/29-Winter-St-02474/unit-A/home/8468540,MLS PIN,71955742,N,Y,42.4072356,-71.1408821
PAST SALE,,Single Family Residential,64 Bay State Rd,Arlington,MA,02474,610000,3,1.5,,1591,6175,1945,,383,,,,,http://www.redfin.com/MA/Arlington/64-Bay-State-Rd-02474/home/11774567,,,N,Y,42.4055973,-71.1544298
PAST SALE,,Condo/Co-op,126 Massachusetts Ave #2,Arlington,MA,02474,293000,2,1.0,,1050,,1912,,279,,,,,http://www.redfin.com/MA/Arlington/126-Massachusetts-Ave-02474/unit-2/home/12313505,,,N,Y,42.403851,-71.139812
PAST SALE,September-1-2009,Condo/Co-op,51-53 Lafayette #1,Arlington,MA,02474,320000,2,1.0,Arlington,1000,,1925,3047,320,,Sold,,,http://www.redfin.com/MA/Arlington/53-Lafayette-St-02474/unit-1/home/21681809,MLS PIN,70946097,N,Y,42.4005376,-71.1396104
PAST SALE,June-1-2010,Condo/Co-op,108 Milton St #2,Arlington,MA,02474,327500,2,1.0,East Arlington,1074,5303,1929,2774,305,121,Sold,,,http://www.redfin.com/MA/Arlington/108-Milton-St-02474/unit-2/home/77508061,MLS PIN,71034342,N,Y,42.40161,-71.1441102
PAST SALE,May-27-2010,Condo/Co-op,6 Egerton Rd #6,Arlington,MA,02474,405000,3,1.0,East Arlington,1034,,1914,2779,392,,Sold,,,http://www.redfin.com/MA/Arlington/6-Egerton-Rd-02474/unit-6/home/77508203,MLS PIN,71041777,N,Y,42.4048762,-71.1416052
PAST SALE,November-22-2010,Condo/Co-op,134 Thorndike St #1,Arlington,MA,02474,295000,2,1.0,East Arlington,870,,1905,2600,339,125,Sold,,,http://www.redfin.com/MA/Arlington/134-Thorndike-St-02474/unit-1/home/77508629,MLS PIN,71053452,N,Y,42.3996049,-71.1432611
PAST SALE,July-29-2011,Condo/Co-op,12 Pondview Rd #2,Arlington,MA,02474,550000,3,2.0,Arlington,1960,,1924,2351,281,186,Sold,,,http://www.redfin.com/MA/Arlington/12-Pondview-Rd-02474/unit-2/home/77513451,MLS PIN,71235603,N,Y,42.4044238,-71.1498479
PAST SALE,April-23-2013,Condo/Co-op,41 Milton St #2,Arlington,MA,02474,610000,4,2.0,Arlington,1900,5000,1921,1717,321,180,Sold,,,http://www.redfin.com/MA/Arlington/41-Milton-St-02474/unit-2/home/77519911,MLS PIN,71491024,N,Y,42.4031664,-71.1420249
PAST SALE,June-19-2015,Condo/Co-op,62 Mary #1,Arlington,MA,02474,605000,3,2.0,East Arlington,1200,4905,1940,930,504,175,Sold,,,http://www.redfin.com/MA/Arlington/62-Mary-St-02474/unit-1/home/79097140,MLS PIN,71832227,N,Y,42.4028039,-71.1505565
PAST SALE,February-13-2017,Condo/Co-op,136 Lake St #1,Arlington,MA,02474,585000,3,2.0,East Arlington,1185,,1945,325,494,55,Sold,,,http://www.redfin.com/MA/Arlington/136-Lake-St-02474/unit-1/home/112854100,MLS PIN,72105703,N,Y,42.4034284,-71.1508386
PAST SALE,,Single Family Residential,114 Thorndike St,Arlington,MA,02474,171000,2,1.0,,1425,4000,1966,,120,,,,,http://www.redfin.com/MA/Arlington/114-Thorndike-St-02474/home/8399507,,,N,Y,42.400184,-71.1421805
PAST SALE,,Multi-Family (2-4 Unit),24 Lake St,Arlington,MA,02474,260000,4,2.0,,3020,4957,1923,,86,,,,,http://www.redfin.com/MA/Arlington/24-Lake-St-02474/home/8401366,,,N,Y,42.4050485,-71.1438873
PAST SALE,July-21-2017,Single Family Residential,266 Lake St,Belmont,MA,02478,845000,3,2.5,Belmont,2320,7905,1946,167,364,,Sold,,,http://www.redfin.com/MA/Belmont/266-Lake-St-02478/home/8448660,MLS PIN,72161507,N,Y,42.402878,-71.1590351
PAST SALE,July-6-2017,Condo/Co-op,52 Trowbridge St #2,Arlington,MA,02474,910000,3,3.0,East Arlington,2128,5000,1915,182,428,150,Sold,,,http://www.redfin.com/MA/Arlington/52-Trowbridge-St-02474/unit-2/home/113968905,MLS PIN,72165554,N,Y,42.405869,-71.1389215
PAST SALE,November-20-2009,Single Family Residential,83 N Union St,Arlington,MA,02474,330000,4,1.5,Arlington,1994,6373,1930,2967,165,,Sold,,,http://www.redfin.com/MA/Arlington/83-N-Union-St-02474/home/8411870,MLS PIN,70915415,N,Y,42.4121445,-71.137058
PAST SALE,,Condo/Co-op,58 Hilton St,Arlington,MA,02474,330000,2,1.0,,980,,1922,,337,,,,,http://www.redfin.com/MA/Arlington/58-Hilton-St-02474/home/8430714,,,N,Y,42.409478,-71.1367552
PAST SALE,February-14-2011,Townhouse,14-16 Waldo Rd #16,Arlington,MA,02474,574000,3,2.5,Arlington,1937,5000,2010,2516,296,158,Sold,,,http://www.redfin.com/MA/Arlington/14-16-Waldo-Rd-02474/unit-16/home/39939331,MLS PIN,71161490,N,Y,42.406784,-71.137608
PAST SALE,August-24-2011,Condo/Co-op,29 Trowbridge St #29,Arlington,MA,02474,425000,2,1.5,East Arlington,1365,5000,1915,2325,311,150,Sold,,,http://www.redfin.com/MA/Arlington/29-Trowbridge-St-02474/unit-29/home/39997616,MLS PIN,71246934,N,Y,42.4051032,-71.1392248
PAST SALE,September-29-2011,Townhouse,9 PURCELL #1,Arlington,MA,02474,520000,3,2.5,Arlington,2080,6000,2011,2289,250,,Sold,,,http://www.redfin.com/MA/Arlington/9-Purcell-Rd-02474/unit-1/home/40049765,MLS PIN,71268019,N,Y,42.4123887,-71.1377806
PAST SALE,March-18-2010,Multi-Family (2-4 Unit),52 Marathon St,Arlington,MA,02474,587000,6,3.0,Arlington,3072,5596,1911,2849,191,,Sold,,,http://www.redfin.com/MA/Arlington/52-Marathon-St-02474/home/8408323,MLS PIN,71024001,N,Y,42.4070171,-71.1386844
PAST SALE,,Townhouse,53 N Union St,Arlington,MA,02474,537000,2,2.5,,2074,,2009,,259,,,,,http://www.redfin.com/MA/Arlington/53-N-Union-St-02474/home/40431427,,,N,Y,42.4111834,-71.1378706
PAST SALE,,Condo/Co-op,122 Decatur St Apt 7,Arlington,MA,02474,89000,2,1.0,,678,,1962,,131,,,,,http://www.redfin.com/MA/Arlington/122-Decatur-St-02474/unit-7/home/8412822,,,N,Y,42.4146492,-71.1378303
PAST SALE,,Condo/Co-op,19-21 Patrick St #2,Arlington,MA,02474,383000,2,1.0,,1331,,1970,,288,,,,,http://www.redfin.com/MA/Arlington/19-21-Patrick-St-02474/unit-2/home/23457602,,,N,Y,42.413168,-71.137609
PAST SALE,December-19-2014,Condo/Co-op,89 Decatur St #1,Arlington,MA,02474,410000,2,1.5,Arlington,1000,,1925,1112,410,141,Sold,,,http://www.redfin.com/MA/Arlington/89-Decatur-St-02474/unit-1/home/11536034,MLS PIN,71763052,N,Y,42.414464,-71.1361074
PAST SALE,September-29-2014,Multi-Family (2-4 Unit),55-57 Amsden St,Arlington,MA,02474,630000,5,2.0,Arlington,2140,4456,1916,1193,294,,Sold,,,http://www.redfin.com/MA/Arlington/55-57-Amsden-St-02474/home/23456993,MLS PIN,71724310,N,Y,42.4047539,-71.137143
