SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,37 Sherburne Rd,Lexington,MA,02421,210000,3,2.0,,2222,15500,1952,,95,,,,,http://www.redfin.com/MA/Lexington/37-Sherburne-Rd-02421/home/8560591,,,N,Y,42.4400942,-71.2260699
PAST SALE,September-1-1999,Single Family Residential,15 SHERBURNE Rd,Lexington,MA,02421,770000,5,4.0,Lexington,2600,30762,1960,6700,296,,Sold,,,http://www.redfin.com/MA/Lexington/15-Sherburne-Rd-02421/home/8560627,MLS PIN,30338774,N,Y,42.4432705,-71.2262316
PAST SALE,,Single Family Residential,10 Grant Pl,Lexington,MA,02420,570000,4,2.75,,2644,15936,1940,,216,,,,,http://www.redfin.com/MA/Lexington/10-Grant-Pl-02420/home/8564921,,,N,Y,42.4482547,-71.2258069
PAST SALE,August-4-2010,Single Family Residential,1963 Massachusetts Ave,Lexington,MA,02421,900000,6,5.5,Battle Green Historic District,4558,12100,1865,2710,197,,Sold,,,http://www.redfin.com/MA/Lexington/1963-Massachusetts-Ave-02421/home/8570824,MLS PIN,70935305,N,Y,42.4497677,-71.2334178
PAST SALE,,Single Family Residential,20 Oakland St,Lexington,MA,02420,810000,5,7.0,,3848,23776,1880,,210,,,,,http://www.redfin.com/MA/Lexington/20-Oakland-St-02420/home/8570741,,,N,Y,42.4505211,-71.224597
PAST SALE,July-31-2000,Single Family Residential,524 CONCORD Ave,Lexington,MA,02421,290000,4,1.0,Lexington,1224,18320,1951,6366,237,,Sold,,,http://www.redfin.com/MA/Lexington/524-Concord-Ave-02421/home/8545000,MLS PIN,30416452,N,Y,42.4198254,-71.2427828
PAST SALE,,Townhouse,20 Fifer Ln,Lexington,MA,02420,415000,2,2.5,,1308,436,1976,,317,,,,,http://www.redfin.com/MA/Lexington/20-Fifer-Ln-02420/home/8584790,,,N,Y,42.4790756,-71.2504733
PAST SALE,,Townhouse,17 Drummer Boy Way,Lexington,MA,02420,427500,3,2.5,,1513,436,1976,,283,,,,,http://www.redfin.com/MA/Lexington/17-Drummer-Boy-Way-02420/home/8584907,,,N,Y,42.4786745,-71.2494602
PAST SALE,,Townhouse,3 Drummer Boy Way,Lexington,MA,02420,385000,2,1.5,,1254,436,1976,,307,,,,,http://www.redfin.com/MA/Lexington/3-Drummer-Boy-Way-02420/home/8584846,,,N,Y,42.4778069,-71.2515828
PAST SALE,August-29-2016,Single Family Residential,5 Magnolia Ln,Lexington,MA,02420,975000,3,2.5,Lexington,2023,4679,2002,493,482,44,Sold,,,http://www.redfin.com/MA/Lexington/5-Magnolia-Ln-02420/home/8587373,MLS PIN,72038364,N,Y,42.480956,-71.250683
PAST SALE,,Townhouse,5 Fifer Ln,Lexington,MA,02420,434000,3,2.5,,1753,436,1976,,248,,,,,http://www.redfin.com/MA/Lexington/5-Fifer-Ln-02420/home/8584723,,,N,Y,42.4789227,-71.2521315
PAST SALE,,Condo/Co-op,24 Fifer Ln,Lexington,MA,02420,176000,2,1.5,,1308,,1976,,135,,,,,http://www.redfin.com/MA/Lexington/24-Fifer-Ln-02420/home/8584809,,,N,Y,42.4801239,-71.2501453
PAST SALE,,Condo/Co-op,12 Drummer Boy Way,Lexington,MA,02420,165000,1,1.0,,938,,1976,,176,,,,,http://www.redfin.com/MA/Lexington/12-Drummer-Boy-Way-02420/home/8584891,,,N,Y,42.4782019,-71.2504943
PAST SALE,June-4-2008,Single Family Residential,8 Boxwood Ln,Lexington,MA,02420,899900,3,2.5,The Village at Lexington Park,2338,17678,2001,3501,385,450,Sold,,,http://www.redfin.com/MA/Lexington/8-Boxwood-Ln-02420/home/8587394,MLS PIN,70723295,N,Y,42.4827381,-71.252443
PAST SALE,October-25-2010,Townhouse,27 Fifer Ln #27,Lexington,MA,02420,430000,3,2.0,Lexington,1589,,1976,2628,271,660,Sold,,,http://www.redfin.com/MA/Lexington/27-Fifer-Ln-02420/unit-27/home/113230413,MLS PIN,71046024,N,Y,42.480326,-71.249596
PAST SALE,April-30-2015,Single Family Residential,85 Winter St,Lexington,MA,02420,575000,3,1.5,Lexington,1330,11200,1955,980,432,,Sold,,,http://www.redfin.com/MA/Lexington/85-Winter-St-02420/home/8586211,MLS PIN,71738430,N,Y,42.4823774,-71.2497532
PAST SALE,,Single Family Residential,83 Winter St,Lexington,MA,02420,252500,4,2.5,,4028,8400,2003,,63,,,,,http://www.redfin.com/MA/Lexington/83-Winter-St-02420/home/8586215,,,N,Y,42.4821491,-71.2497536
PAST SALE,,Townhouse,28 Fifer Ln,Lexington,MA,02420,368000,1,1.5,,1509,436,1976,,244,,,,,http://www.redfin.com/MA/Lexington/28-Fifer-Ln-02420/home/8584830,,,N,Y,42.480326,-71.249596
PAST SALE,July-30-2014,Townhouse,28 Fifer Ln #28,Lexington,MA,02420,368000,2,1.5,Lexington,1598,,1976,1254,230,732,Sold,,,http://www.redfin.com/MA/Lexington/28-Fifer-Ln-02420/unit-28/home/137080390,MLS PIN,71700723,N,Y,42.480326,-71.249596
PAST SALE,October-1-1997,Condo/Co-op,14 FIFER Ln #1,Lexington,MA,,212500,2,2.0,Lexington,1300,,1976,7400,163,310,Sold,,,http://www.redfin.com/MA/Lexington/14-Fifer-Ln-02420/unit-1/home/137542943,MLS PIN,50380236,N,Y,42.4790919,-71.2514898
PAST SALE,August-30-1996,Townhouse,"25 DRUMMER BOY Way Unit 25,25",Lexington,MA,,244000,3,2.0,Lexington,1598,,1977,7797,153,338,Sold,,,http://www.redfin.com/MA/Lexington/25-Drummer-Boy-Way-02420/unit-25-25/home/137621475,MLS PIN,50331206,N,Y,42.4777369,-71.250195
PAST SALE,September-1-2004,Townhouse,25 Fifer Ln #0,Lexington,MA,02420,420000,2,3.0,Lexington,1700,,1978,4873,247,417,Sold,,,http://www.redfin.com/MA/Lexington/25-Fifer-Ln-02420/unit-0/home/137830266,MLS PIN,70032421,N,Y,42.480229,-71.2498733
PAST SALE,,Condo/Co-op,25 Fifer Ln #25,Lexington,MA,02420,420000,2,4.0,,1308,,1976,,321,,,,,http://www.redfin.com/MA/Lexington/25-Fifer-Ln-02420/unit-25/home/8584815,,,N,Y,42.480229,-71.2498733
PAST SALE,,Multi-Family (2-4 Unit),22 Charles St,Lexington,MA,02421,141000,4,2.0,,2175,8100,1912,,65,,,,,http://www.redfin.com/MA/Lexington/22-Charles-St-02421/home/8545650,,,N,Y,42.424811,-71.197112
PAST SALE,,Multi-Family (2-4 Unit),23 Sylvia St,Lexington,MA,02421,706000,4,2.0,,2356,4000,1913,,300,,,,,http://www.redfin.com/MA/Lexington/23-Sylvia-St-02421/home/8546285,,,N,Y,42.4241636,-71.1940001
PAST SALE,May-2-2007,Single Family Residential,4 Bowker St,Lexington,MA,02421,410000,4,1.5,Lexington,1123,8656,1917,3900,365,,Sold,,,http://www.redfin.com/MA/Lexington/4-Bowker-St-02421/home/11776081,MLS PIN,70481168,N,Y,42.4259178,-71.1973213
PAST SALE,May-8-2003,Single Family Residential,10 CRESCENT Rd,Lexington,MA,02421,475000,3,2.5,Lexington,1348,13597,1955,5355,352,,Sold,,,http://www.redfin.com/MA/Lexington/10-Crescent-Rd-02421/home/8543021,MLS PIN,30697067,N,Y,42.4182765,-71.2090939
PAST SALE,,Single Family Residential,46 Peacock Farm Rd,Lexington,MA,02421,782050,4,3.5,,2819,15936,1958,,277,,,,,http://www.redfin.com/MA/Lexington/46-Peacock-Farm-Rd-02421/home/8542441,,,N,Y,42.4205296,-71.2008811
PAST SALE,October-31-2006,Single Family Residential,220 Massachusetts Ave,Lexington,MA,02420,379900,2,1.5,East Lexington,864,6577,1953,4083,440,,Sold,,,http://www.redfin.com/MA/Lexington/220-Massachusetts-Ave-02420/home/8546237,MLS PIN,70339528,N,Y,42.426103,-71.197202
PAST SALE,June-8-2001,Single Family Residential,314 MASSACHUSETTS Ave,Lexington,MA,02420,351000,3,1.5,Lexington,1333,8000,1927,6054,263,,Sold,,,http://www.redfin.com/MA/Lexington/314-Massachusetts-Ave-02420/home/8546357,MLS PIN,30496070,N,Y,42.426767,-71.198829
PAST SALE,June-16-1999,Single Family Residential,7 ELLIS St,Lexington,MA,02421,337500,4,2.0,Lexington,1386,14025,1945,6777,244,,Sold,,,http://www.redfin.com/MA/Lexington/7-Ellis-St-02421/home/8546139,MLS PIN,30305556,N,Y,42.4256343,-71.2012655
PAST SALE,July-8-2004,Multi-Family (2-4 Unit),10-12 Sylvia,Lexington,MA,02421,582500,4,2.0,Lexington,2000,5400,1918,4928,291,,Sold,,,http://www.redfin.com/MA/Lexington/12-Sylvia-St-02421/home/55546012,MLS PIN,70030962,N,Y,42.4248618,-71.193425
PAST SALE,July-27-2015,Single Family Residential,12 Trotting Horse Dr,Lexington,MA,02421,1006666,5,3.5,Peacock Farm,2374,34792,1958,892,424,475,Sold,,,http://www.redfin.com/MA/Lexington/12-Trotting-Horse-Dr-02421/home/8542341,MLS PIN,71850986,N,Y,42.421927,-71.2030816
PAST SALE,,Single Family Residential,33 Peacock Farm Rd,Lexington,MA,02421,367800,4,3.5,,1706,20292,1956,,216,,,,,http://www.redfin.com/MA/Lexington/33-Peacock-Farm-Rd-02421/home/8542586,,,N,Y,42.4195403,-71.2028696
PAST SALE,September-15-2003,Single Family Residential,4 PEACOCK FARM Rd,Lexington,MA,02421,625000,4,2.0,Lexington,1979,20800,1953,5225,316,375,Sold,,,http://www.redfin.com/MA/Lexington/4-Peacock-Farm-Rd-02421/home/8542927,MLS PIN,30712427,N,Y,42.4195771,-71.206645
PAST SALE,October-22-2009,Single Family Residential,10 White Pine Ln,Lexington,MA,02421,804000,4,2.0,Lexington,1960,15500,1967,2996,410,,Sold,,,http://www.redfin.com/MA/Lexington/10-White-Pine-Ln-02421/home/8543278,MLS PIN,70960636,N,Y,42.4215768,-71.2073645
PAST SALE,August-27-1998,Single Family Residential,24 TARBELL Ave,Lexington,MA,02421,378500,4,2.0,Lexington,1904,14085,1900,7070,199,,Sold,,,http://www.redfin.com/MA/Lexington/24-Tarbell-Ave-02421/home/8545719,MLS PIN,30245676,N,Y,42.4228908,-71.1982583
PAST SALE,September-17-2010,Single Family Residential,62 Oak St,Lexington,MA,02421,417500,3,1.5,Liberty Heights,1043,3901,1920,2666,400,,Sold,,,http://www.redfin.com/MA/Lexington/62-Oak-St-02421/home/8546057,MLS PIN,71122710,N,Y,42.424908,-71.201021
PAST SALE,,Single Family Residential,60 Baker Ave,Lexington,MA,02421,612500,3,2.0,,1484,9600,1949,,413,,,,,http://www.redfin.com/MA/Lexington/60-Baker-Ave-02421/home/8545896,,,N,Y,42.4223579,-71.2004174
PAST SALE,,Townhouse,43 Potter Pond,Lexington,MA,02421,775000,3,3.0,,1826,436,1981,,424,,,,,http://www.redfin.com/MA/Lexington/43-Potter-Pond-02421/home/8541904,,,N,Y,42.4123793,-71.217446
PAST SALE,,Single Family Residential,7 Blossom St,Lexington,MA,02421,1985800,3,2.0,,2284,25601,1982,,869,,,,,http://www.redfin.com/MA/Lexington/7-Blossom-St-02421/home/8543950,,,N,Y,42.4180856,-71.2237517
PAST SALE,August-1-2017,Single Family Residential,112 Pleasant St,Lexington,MA,02421,765000,4,2.0,Bowman/ Wilson Farm,2107,20037,1953,156,363,,Sold,,,http://www.redfin.com/MA/Lexington/112-Pleasant-St-02421/home/8542770,MLS PIN,72151630,N,Y,42.4188486,-71.2135269
